npcId;stamina;hunger;hour;socialClass;socialStatus;leisure;priority;trait_extraversion;trait_agreeableness;trait_conscientiousness;trait_emotional_stability;trait_openness_exp;acao_alvo
5b3c8e1b-6a2e-4547-aac8-b7b0d95e45ed;1;0.090999715;0.17222917;0;0;0.060666423;0;0.49102718;0.7601754;0.28152317;0.5507615;0.51012754;0
ff427b23-1944-489b-850d-0710844408cd;1;0.015249988;0.17222917;0;0;0.010166667;0;0.863825;0.5647783;0.542675;0.091318846;0.9327129;0
51610c17-8c6d-48c0-bdad-0818e3802ba1;1;0.090999715;0.17222917;0;0;0.060666423;0;0.6950416;0.18084317;0.3277142;0.950316;0.620641;0
bbb24734-3468-4824-ac12-197f4376ca02;1;0.090999715;0.17222917;0;0;0.060666423;0;0.9677926;0.08000845;0.7869591;0.671195;0.09966433;0
998124a6-eafb-40b9-88c7-936e1810100b;1;0.090999715;0.17222917;0;0;0.060666423;0;0.59714603;0.5389263;0.270324;0.7404963;0.9546714;0
ac3bb665-1368-408e-a585-ef720d12fc85;1;0.090999715;0.17222917;0;0;0.060666423;0;0.8112554;0.86837274;0.4821338;0.17641944;0.06296176;0
24c6e598-7029-4989-a33a-07d63975e756;1;0.090999715;0.17222917;0;0;0.060666423;0;0.07545233;0.4044844;0.3225022;0.18718392;0.24589354;0
f71647a0-c378-4563-8062-a1b46178bd7c;1;0.090999715;0.17222917;0;0;0.060666423;0;0.15955031;0.67806286;0.9747072;0.23281932;0.7742358;0
cf6f9b10-df61-47e0-8551-4871d84f86d7;1;0.090999715;0.17222917;0;0;0.060666423;0;0.1561318;0.8407284;0.58921266;0.7791212;0.461334;1
bba5ea3d-4141-43b7-beb1-c42b2bdbb8c7;1;0.090999715;0.17224999;0;0;0.060666423;0;0.6038108;0.01963085;0.19462335;0.6546984;0.52006775;0
4675eba8-cc12-4d28-bfc3-ff9ff2a20121;1;0.090999715;0.17224999;0;0;0.060666423;0;0.13707352;0.5395991;0.5899054;0.4784335;0.785393;0
f07d69a7-473b-4240-87aa-585cedc0661b;0.9755996;0.090999715;0.17224999;0;0;0.060666423;0;0.41119748;0.7324541;0.20766562;0.19379371;0.5841672;0
d6188cf4-b2d8-4ae5-b779-db493a19adb2;1;0.090999715;0.17224999;0;0;0.060666423;0;0.33563387;0.31795847;0.37210912;0.40838206;0.6792835;0
d0ab4e67-2608-4a61-a864-35b27fcb878f;1;0.060500078;0.17224999;0;0;0.0403332;0;0.19498181;0.5549048;0.37209994;0.22881639;0.83315545;0
b33d1bad-65cb-4fd7-a43a-ec258abf4a04;1;0.090999715;0.17224999;0;0;0.060666423;0;0.22076416;0.14396226;0.61524487;0.8429398;0.50483966;0
5eea4dae-e866-4dea-9405-dcb0ed1e1eed;1;0.090999715;0.17224999;0;0;0.060666423;0;0.46897328;0.6580102;0.4365601;0.7900023;0.34676862;0
91499d73-9648-4073-933d-d3a46d8e488d;1;0.090999715;0.17224999;0;0;0.060666423;0;0.3605165;0.65273225;0.42314166;0.21555138;0.123594105;0
b8b6f99f-b03f-4906-b87b-d3f036ea83e3;1;0.090999715;0.17224999;0;0;0.060666423;0;0.47029334;0.70950437;0.5833699;0.44478476;0.9815233;0
2690834f-2b6f-40fb-81ab-9646e6c51542;1;0.090999715;0.17224999;0;0;0.060666423;0;0.6035349;0.6355657;0.14341152;0.27441412;0.61197066;0
bdec9e19-d6ac-44e3-907b-5adcf64f9bdb;1;0.090999715;0.17224999;0;0;0.060666423;0;0.0069772005;0.030078769;0.13665956;0.5705783;0.2886806;1
1228ab1d-929e-4f8a-bf83-6b2660326ff4;1;0.090999715;0.17227083;0;0;0.060666423;0;0.10768759;0.9727579;0.6476442;0.32037872;0.8415936;0
9030693c-28be-413e-b7f7-468ef61b5f5c;1;0.090999715;0.17227083;0;0;0.060666423;0;0.7375082;0.45943803;0.6269352;0.6703806;0.8039099;4
5e42bb44-e0cf-46c2-aab9-80c1f15bef1f;1;0.090999715;0.17227083;0;0;0.060666423;0;0.6766488;0.52762824;0.49565965;0.89464885;0.298272;0
36657ae4-a79c-4785-8068-c8b576e56b67;1;0.090999715;0.17227083;0;0;0.060666423;0;0.43924809;0.80164486;0.7898478;0.7565798;0.82103807;0
aa19fb1b-0e61-48c1-9d47-495c38a10073;1;0.090999715;0.17227083;0;0;0.060666423;0;0.03356856;0.014978945;0.09081805;0.22123712;0.5098323;0
ad2fb843-b48c-443a-8fe1-b9ba0795eaed;1;0.10624952;0.19329166;0;0;0.07083322;0;0.8745844;0.7995373;0.31456918;0.42624462;0.3229459;0
9ff4a26c-6a55-48e7-91ed-121021029290;1;0.10624952;0.19329166;0;0;0.07083322;0;0.5656102;0.4359529;0.25829977;0.35413563;0.8189367;0
d1d6916d-f9a7-474b-9e59-d5ed9335c81c;0.99643147;0.10624952;0.19329166;0;0;0.07083322;0;0.72582406;0.34190226;0.743959;0.81314135;0.11945814;0
18fa96a2-c8c7-4c58-b299-456ea1ca288a;1;0.10624952;0.19331251;0;0;0.07083322;0;0.25604856;0.86824584;0.60016775;0.050480187;0.794773;0
fec85873-62e5-42b5-85a1-a67e8b435fd7;1;0.10624952;0.19331251;0;0;0.07083322;0;0.11033696;0.2796734;0.8053836;0.31840116;0.56603026;0
